	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K03736	1	1	4	1	2	578	0	15	3	17	0	195	2	88	23	53	1	219	8	18	116	133	5	2	5	0	1	0
K03737	48	117	52	3677	38	7750	31	3499	250	4083	26	10531	36	2659	3418	3038	5736	4265	705	3754	20236	10264	257	37	8108	7	5754	8
K03739	3806	16723	6866	5437	12409	412	4098	2761	3625	3235	8431	4900	6979	4740	1877	1778	30	2978	276	2861	2303	241	7276	4377	1563	16858	2786	22575
K03740	4577	18852	7028	6154	13723	30	4726	4006	4370	3428	9395	57	6821	3307	1235	2749	23	3694	164	3187	2816	303	7067	8124	1274	18739	4047	24061
K03741	1	1	1	4	1	1	1	1	10	1	1	1	1	1	1	1	4	1	0	1	1	1	2	1	1	1	1	1
K03742	80	5	6	347	2	634	3	830	1211	77	2	96	2	240	1864	139	5	87	51	358	615	362	19	4	97	3	394	3
K03743	2	0	0	0	0	0	0	0	0	68	0	0	0	4	0	0	0	228	0	0	1	0	0	0	0	0	0	0
K03746	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	4	2	0
K03747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K03750	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	44	1	1	1	1	1
K03753	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
K03755	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K03756	12	11	12	311	3	577	4	473	179	817	2	706	5	856	588	303	678	604	92	455	2220	945	304	4	1215	2	911	1
K03758	5	1723	445	753	6277	9	5	20	113	5	22	7	4	11	9	6	6	6	960	31	7	4	604	2592	7	691	180	1514
K03759	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K03760	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K03761	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
K03762	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	2	0	0	0
K03763	5051	6027	4956	7274	7904	168	2556	2777	2376	1251	3865	112	2116	1114	1170	782	24	3281	114	3054	958	411	5629	3001	1159	2684	1708	3088
