	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K01886	18	29	16	909	17	1903	10	2939	102	2365	12	4996	14	1208	2469	1980	2170	4118	442	1927	7240	3493	119	14	1831	4	745	4
K01887	1061	2476	2562	3413	4356	4708	947	4020	1986	4900	2035	4413	925	2489	3519	4030	2464	6524	454	2978	9143	4061	1721	1287	2808	7961	2657	2832
K01889	2231	4600	2144	5366	3102	3558	1007	8941	4732	5624	3633	5025	1758	3924	5680	3483	686	7797	337	4465	11755	6691	2419	1645	4206	2823	4689	3345
K01890	2716	3102	3566	8056	4957	2547	1624	6690	4522	7249	2332	10299	1089	5381	6800	5459	624	8190	302	6070	14405	7640	4283	2051	4604	2680	2228	3036
K01892	2341	4675	5046	7289	5921	4609	2373	8278	5596	6219	3236	7640	1649	3781	5796	4741	2941	10843	398	5343	15014	6654	3663	3107	4217	3648	2780	4176
K01893	6143	11597	9301	7110	10867	2384	4983	6494	7443	7234	7485	5684	4190	5447	3577	6158	78	8235	417	5974	8353	3984	9054	3000	4437	9047	3318	9234
K01894	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K01895	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0
K01897	237	59	54	5276	23	1686	27	5659	2735	2180	26	6109	24	1009	4338	2769	213	10212	451	3840	13795	8608	213	26	4532	6	810	7
K01902	11	19	17	180	10	188	12	415	313	1318	35	5249	854	1024	2877	1742	18	3138	175	618	8537	3251	87	50	1523	3	729	2
K01903	14	35	43	493	14	444	26	1035	357	1646	10	13873	674	6902	6096	5634	15	8499	306	1394	13964	8691	151	17	1423	2	728	3
K01906	1	1	1	67	1	1	1	53	1	5	1	3	2	18	2	5	6	65	1	49	3	12	71	1	4	1	1	1
K01908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01911	3	5	2	20	7	126	2	51	11	147	6	553	4	68	155	230	2	321	21	47	672	217	52	4	96	4	23	2
K01914	270	360	1629	1823	1680	1940	807	1449	383	3562	369	583	148	4161	795	1256	62	2043	48	1834	754	142	1798	746	591	118	2221	168
K01915	3062	27808	10682	13857	14310	1369	4479	11431	8685	6548	11760	12937	16503	12341	7640	10283	421	17034	560	10500	17349	10346	39035	2479	6683	16698	9646	41977
K01916	2089	5898	5685	4857	6586	202	3928	3611	2781	1906	2822	343	1718	1987	1990	1389	243	1534	107	4267	2537	948	4929	1825	1020	2494	1298	3928
K01918	9	20	10	459	11	573	10	1582	33	576	6	3561	3	454	1045	1116	1946	2702	147	2242	4089	2076	42	6	1208	2	194	3
K01919	20	3	4	4	2	3	1	8	21	6	3	7	1	2	1	9	13	2	9	5	9	5	1	14	4	1	1	2
K01920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K01921	2924	7228	6245	6719	6270	3786	2363	5500	6284	6361	4959	5948	3132	3260	5244	4361	812	7690	277	4801	11874	6145	3953	1920	3727	4975	3536	5290
K01922	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
K01923	427	47	73	10372	25	2711	21	12444	5876	5354	21	7542	19	3582	6917	3366	1785	10275	222	5626	16825	9356	209	30	4947	21	1599	27
K01924	2323	4078	5037	5158	6559	2378	3208	3362	4101	3717	1751	3272	1374	2728	3343	2320	1050	3954	304	4335	6582	3113	3323	3124	4156	5429	2841	4670
K01925	1768	3381	4032	7677	5860	1893	3443	5071	3733	4024	2151	3016	1254	3586	4166	3647	1116	5363	290	6472	7823	3322	4754	1959	2386	1748	1835	2345
K01926	805	1886	1319	1567	1818	3217	954	2510	968	4529	1046	971	1218	2994	1588	1671	2086	2013	299	2432	2830	993	1256	336	1016	2382	1885	6203
K01928	2729	9121	6899	8749	9083	2009	4134	4498	3898	5087	4892	2847	3799	3976	5437	3680	881	5123	227	6515	6935	3312	7253	1192	3132	3130	2689	3764
K01929	2951	4071	7264	11263	10735	1312	5335	6950	4369	7033	3653	2542	1929	5513	5255	5386	573	4969	242	6404	6123	3080	10841	1691	2277	3915	2967	3178
K01933	77	15	19	1372	6	1310	8	3217	369	1242	7	1636	12	757	1590	766	526	5031	123	1215	3874	2008	61	6	1608	17	430	13
K01934	1180	1801	2130	2891	3535	338	1253	1322	1307	1670	932	147	531	793	987	926	67	843	47	1570	651	156	1681	1835	1073	1693	999	2105
K01935	12	3	4	488	3	293	3	1118	8	844	4	165	3	851	616	573	843	1499	4	1047	1062	1053	117	2	330	4	693	3
K01937	805	3911	5697	6420	8460	1215	5893	4716	1717	4335	3388	5546	1946	3143	3573	4015	25	7433	333	4378	8168	4555	5351	1493	3790	4052	2983	8266
K01938	3460	2310	10751	4477	13117	1778	8896	4739	2201	4618	1179	4785	858	2628	2885	2827	1191	4370	213	3140	4732	2344	4923	1448	1783	2247	2394	1197
K01939	719	13544	6223	14564	9926	7990	3344	13846	5228	14670	3169	16074	5077	13197	7209	5762	5390	12857	513	11664	18770	8708	5790	938	6381	13753	7465	13641
K01940	52	14	7	404	9	474	10	2407	612	438	7	614	7	271	1735	1519	2642	898	23	862	4319	1847	90	6	791	2	293	2
K01945	34	435	27	1102	14	1439	12	3636	298	1402	78	2001	197	904	2383	1162	756	4790	100	1286	4061	1631	101	12	1430	155	897	296
K01950	10	13	6	22	2	291	3	172	57	710	2	1623	4	218	408	391	17	952	84	132	2158	840	11	2	698	2	120	2
K01951	1987	8098	2841	5758	4173	2191	2236	5634	3616	4197	1285	4188	2572	3974	4147	3445	661	8638	305	4656	8227	4385	5118	1156	3410	6221	3286	7987
K01952	54	16	17	1544	9	1059	10	1493	701	1055	17	2200	13	656	2090	845	690	2917	98	1022	4429	2516	112	10	1500	97	594	98
K01953	4405	3334	6651	5003	7223	39	3669	4244	4396	2000	2134	381	987	1905	1864	1880	29	1940	49	3444	1753	946	5453	1826	1841	1905	1502	2933
K01955	1344	22327	5377	6586	7072	1795	3563	2304	4357	2548	7912	3274	6923	2140	3671	1655	1142	5997	93	5641	8307	1853	1706	1454	2699	11583	3260	15239
K01956	1776	22114	10521	6970	12399	1080	10478	3468	4143	4770	7074	1662	7429	2965	3356	2582	514	7401	267	5830	4236	2381	4588	1541	2407	9799	4494	13662
K01958	22	5	12	301	3	332	3	273	23	225	1	133	18	470	1096	170	557	452	7	500	790	477	199	2	427	3	1104	6
K01960	14	38	25	798	15	3400	20	2488	222	3386	13	7065	12	2248	3090	3255	1675	6286	550	2129	11929	5561	3485	18	6566	26	1025	29
K01961	18	5	12	908	2	74	4	883	92	1807	2	45	7	124	264	80	2	3164	90	253	495	484	16	2	223	4	551	3
K01962	2	4	25	13	2	89	2	2	36	71	2	4	11	4	3	3	2	2	64	4	7	3	4	2	3	2	6	4
K01963	1	2	19	14	2	141	1	2	23	72	2	2	5	4	3	4	5	3	75	2	4	2	4	3	6	4	2	5
K01966	41	54	30	1661	23	2130	26	3804	514	5917	27	11200	24	3747	4150	5067	2687	10379	399	2456	15252	8290	1398	78	6831	13	1625	4
K01969	0	0	0	0	0	283	0	2	0	0	0	1	0	1	0	1	0	1	0	0	17	0	2	0	9	0	0	0
K01972	2373	6453	2807	3572	3463	1310	1897	1843	2993	2283	2708	1506	1838	1555	1811	1236	338	2073	103	1874	2867	1243	2335	1676	970	2148	1448	2470
K01974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K01975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
K01990	128	653	554	6028	954	361	95	6872	945	3101	668	4698	244	2031	4861	3933	18	3670	138	20858	16308	10077	613	29	6096	417	1371	171
K01991	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0
K01992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K01993	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
K01995	8	5	4	1	4	406	4	102	3	4299	1	64	2	417	351	713	10	1492	9	45	508	20	102	2	27	5	126	2
K01996	5	4	2	2	6	383	7	66	3	3961	3	56	16	1338	229	416	13	1667	19	42	381	53	83	5	18	4	87	3
K01997	2	9	3	3	3	207	3	41	4	2126	2	14	3	214	143	349	2	999	9	19	285	19	55	2	5	3	183	2
K01998	1	3	2	3	2	234	5	37	2	3399	3	15	2	281	204	556	2	1373	5	31	287	9	51	2	3	3	106	2
K01999	8	5	74	53	80	695	49	191	30	4769	5	81	7	727	504	897	205	3435	26	54	744	60	131	5	61	6	183	4
K02000	0	0	1	0	0	6	0	1	1	1	0	1	0	3	0	4	0	7	18	1	0	0	0	0	0	0	0	0
K02001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	2	0	0	0	2	0
K02002	0	0	0	0	0	0	0	1	0	4	0	18	0	1	3	3	0	3	1	2	4	2	2	0	0	0	1	0
K02003	10748	18533	1962	4498	1751	3382	1100	4483	3354	6051	8846	9821	8873	7722	3102	2621	117	3979	174	4985	23599	4489	2938	3828	2264	1036	2193	2775
K02004	11199	12458	1894	2348	1774	959	1245	2040	1112	1893	8047	1528	9486	1720	1272	1723	244	2035	119	3222	2654	2026	3134	544	786	923	1076	2945
K02005	0	0	0	0	0	2	0	1	3	15	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
K02006	30	1	2	60	2	79	3	306	348	108	2	91	2	84	93	214	407	308	9	426	1192	230	8	5	46	1	1	1
K02009	0	0	0	0	0	490	3	7	0	0	0	1	0	0	1	0	0	0	0	0	21	0	3	0	39	1	0	1
K02010	1	0	2	0	12	0	0	4	0	2	0	0	0	2	2	8	0	5	0	0	0	0	2	0	0	0	0	0
K02011	4	3	2	19	1	28	1	8	9	25	1	66	1	34	18	11	28	12	4	17	82	24	7	1	59	1	33	1
K02012	18	7	9	273	6	712	5	511	53	410	7	669	4	488	476	242	1014	443	21	450	981	439	253	4	147	3	363	3
K02013	5	738	51	67	7	82	5	200	45	351	352	648	399	250	95	358	166	546	77	192	732	468	240	5	346	412	352	453
K02014	15	46	28	575	14	4821	19	1358	198	4192	17	20069	18	2548	4981	6051	22	10738	668	1118	19336	13019	146	19	14829	9	887	6
K02015	11	825	43	7	5	152	5	24	25	52	349	147	449	146	32	27	5	81	16	23	176	80	276	4	51	538	447	577
K02016	11	1152	164	628	112	2277	30	1649	57	914	400	429	791	1043	2140	720	1140	1715	68	1443	1761	1193	714	9	644	1038	1274	1068
K02017	1	2	1	1	1	2	1	1	1	4	1	1	1	1	2	1	1	2	1	1	1	1	47	1	1	1	1	1
K02018	1	1	1	1	1	2	1	2	4	1	1	1	1	1	1	2	1	1	1	1	1	1	38	1	1	1	1	1
K02020	0	0	1	0	0	2	0	1	3	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
K02024	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0
K02025	2148	4627	2269	3288	3782	54	1251	1918	2114	3760	1499	1059	1644	1779	7388	1787	25	1998	34	4793	9281	10037	2445	1725	948	4961	1404	2668
K02026	1862	8288	217	501	1543	67	178	272	1553	1480	2822	576	3028	175	2770	51	22	135	66	932	4928	5607	378	1862	516	5590	514	3742
K02027	7	59	22	20	276	33	2	17	248	20	2	23	2	14	151	6	1	17	16	55	267	14	21	430	5	8	34	14
K02028	2104	778	5081	10065	6441	313	3762	10595	4357	5385	957	294	294	5679	2626	5437	1454	12665	183	8970	3028	851	4719	96	1222	739	1884	544
K02029	1907	1174	18	1610	63	82	96	1767	2563	424	199	601	174	361	774	1894	985	2601	39	771	2641	1570	119	16	873	137	93	468
K02030	1938	8	12	554	48	374	67	1560	1665	963	6	934	9	693	2714	608	1021	1600	33	557	2625	1855	614	27	884	5	667	4
K02031	3820	10118	9605	11992	15229	1725	5842	17486	6073	9787	4276	654	3355	7759	7324	11318	39	17732	71	11506	3682	835	8237	4407	1846	3127	3432	3049
K02032	5103	11920	8353	17160	11216	2497	4971	21479	9997	10902	5660	5210	3954	10709	7271	8852	2295	21254	187	12979	11298	6356	7420	3956	6698	8510	4973	8863
K02033	8453	6971	11551	17162	16541	1702	6508	25473	13405	11129	3372	749	2984	9424	8347	14429	1355	22192	79	16649	6569	3420	10022	8057	3877	8002	9456	7820
K02034	3751	2397	5278	8659	7262	1654	3164	9031	6391	5840	1169	1409	1005	5054	5067	5435	37	9155	149	9712	6279	3270	5906	2855	5202	7961	3550	8451
K02035	9456	21930	7843	32544	10047	6793	9496	73333	31891	34929	11822	16819	6938	27785	23167	30071	4212	82466	290	32447	39376	24569	10188	5247	10255	18102	8687	15252
K02036	2998	117554	1927	9821	1143	260	405	3001	2894	1151	30297	488	48422	420	553	274	138	1547	222	381	595	468	3405	417	218	10370	1831	14326
K02037	807	37417	663	3519	349	143	136	1173	1429	732	7341	215	14681	175	487	143	38	572	68	299	828	571	919	193	637	6330	573	5134
K02038	768	57925	1370	9230	753	103	104	1462	1056	544	12234	312	20111	234	359	156	55	1069	80	283	432	396	2310	186	205	8713	968	10718
K02039	2798	93093	505	3971	312	504	221	2117	3159	1684	19944	1711	32346	661	2362	367	321	2375	117	2637	4833	4073	1474	1059	671	10933	1324	11741
K02040	890	36836	1973	15398	1041	249	214	3635	2032	742	7858	931	13010	512	1097	289	175	1929	70	783	1231	1136	1944	329	197	4564	707	9839
K02041	662	12393	1032	202	4534	62	495	21	2756	89	7744	54	6482	57	19	115	10	32	23	22	42	28	882	1466	5	2634	984	6184
K02042	927	10786	1020	275	6496	31	715	13	3670	51	7486	29	5673	43	20	13	10	15	12	17	20	19	838	2650	13	9529	2506	23866
K02043	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
K02044	2295	37718	1341	326	5526	205	1572	23	5339	61	10370	70	14171	142	19	24	15	46	20	36	68	24	1762	4951	31	14827	4027	34730
K02045	1	0	0	0	0	7	0	5	0	84	0	7	1	24	8	28	0	82	0	6	22	9	0	0	0	0	61	0
K02047	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
K02048	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
K02049	12	15	6	48	52	762	3	413	23	2221	2	488	3	849	145	508	190	660	5	428	1128	957	10	20	242	2	633	3
K02050	1	3	6	425	1	7	2	48	3	80	2	130	2	32	92	76	1	4	3	190	390	303	9	1	266	1	5	1
K02051	1	1	1	92	2	62	1	137	13	249	1	22	1	116	138	62	285	92	1	163	370	121	7	1	34	1	63	1
K02052	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02053	0	400	0	4	0	0	1	0	2	0	113	1	355	0	0	0	0	0	0	0	0	0	14	0	0	241	0	97
K02055	0	0	0	3	0	0	0	1	0	2	0	0	0	3	1	2	8	2	3	4	4	2	0	0	0	0	0	0
K02056	3	9	5	4	32	175	2	14	15	155	2	124	6	104	41	58	5	77	51	33	226	64	7	2	4	2	3	2
K02057	5	6	5	5	4	1842	7	68	9	3019	3	2085	3	2119	217	544	7	553	89	114	594	173	6	4	7	2	609	3
K02058	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1	0	0	1	0	0	0
K02062	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02063	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K02064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0
K02065	8	14	11	367	6	650	6	735	40	470	11	884	6	516	1143	447	933	922	80	615	1370	647	239	9	406	2	223	2
K02066	7	11	7	349	9	603	8	660	19	602	3	1994	5	433	1063	742	760	1290	84	644	1760	1076	153	3	626	3	230	3
K02068	845	949	93	1	53	15	77	12	407	74	630	63	706	9	7	47	2	28	24	23	43	15	142	8	5	1146	164	1477
K02069	537	530	40	8	28	3	35	2	292	2	400	4	440	3	1	1	4	7	9	2	1	1	107	3	4	614	82	879
K02071	718	398	446	1749	1139	557	759	1729	1551	2082	326	2372	224	1774	1628	1469	448	4793	48	1140	3187	1492	726	629	633	523	1169	630
K02072	290	777	325	704	631	952	438	1171	788	2286	592	3674	480	1355	982	994	147	3550	36	609	1741	644	601	791	533	267	1308	448
K02073	983	542	288	1098	591	983	211	6426	2088	2174	315	717	278	1049	2148	2165	1017	12520	143	1111	8147	2045	399	895	903	526	1472	767
K02074	86	5	20	521	3	36	5	198	470	128	1	801	7	165	870	398	2	304	2	424	1772	1089	27	6	2174	1	159	2
K02075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02076	2	2	2	2	4	3	2	2	12	2	12	4	2	2	2	2	2	2	2	4	2	2	57	10	14	6	12	14
K02077	238	10	47	3013	10	153	6	3652	2956	241	6	2581	6	335	3985	633	10	1877	121	3772	9258	5571	137	9	1383	1	178	1
K02078	9436	7123	3150	14044	7260	22735	2510	25245	5639	26893	3462	30758	4071	12665	24500	19561	39213	30221	1544	18934	33574	22857	3869	3408	24150	6962	7142	6520
K02080	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02081	10	5	4	1003	6	55	4	1061	6	70	3	323	1	86	419	135	1	403	108	410	1166	794	28	1	227	1	2	1
K02082	2927	10	3259	1540	222	16	454	201	1355	1327	6	22	6	4039	44	194	23	180	12	9961	14	583	4120	61	20	107	1080	2
K02086	1113	1869	1193	799	2366	5	940	323	1413	422	1002	11	739	375	175	431	5	346	58	320	84	24	894	687	294	726	471	561
K02099	2	1	1	1	1	10	1	1	1	8	1	4	1	1	1	1	1	1	1	1	2	8	1	1	1	1	1	1
K02100	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02103	27	2	1	0	2	1	0	2	242	0	1	1	1	1	71	1	0	1	0	47	74	37	2	21	2	2	31	1
K02106	0	1	0	7	1	78	1	292	1	118	0	90	1	2	1	149	484	213	0	203	2	27	0	0	5	0	0	0
K02108	18597	43935	31567	46773	46279	8047	16308	39876	30325	31472	24684	5640	16677	33285	29930	17967	7341	24340	1829	42635	35554	16331	30680	9801	19525	8918	25587	9134
K02109	16496	63004	50272	73545	58196	17152	24312	50197	27052	39223	38068	27597	24276	49586	39786	26551	10893	37373	4853	67488	51447	21364	59664	21494	27039	32900	24018	53160
K02110	21365	8471	31801	40949	39465	329	21290	24417	26780	17840	3313	210	3175	19554	15273	39012	106	12959	2503	43882	3966	1374	27259	27668	8004	7905	12858	11184
K02111	9858	22726	30453	39391	32370	17900	13432	36835	15777	44833	11991	26055	9232	32945	31747	26907	7086	35307	2684	51409	71272	25944	44323	11740	35577	11531	27714	13081
K02112	21710	32495	50777	60827	56881	24152	25322	45795	24594	65679	17968	27193	13720	57920	42701	39533	6215	41446	3881	85418	77757	28710	72176	11871	34008	25404	42695	25215
K02113	21804	42115	55947	65817	63061	17268	27948	48160	31854	42764	23307	22240	18637	57500	36855	32409	6828	37058	2667	79526	43104	9170	76110	13402	13964	35064	29300	53960
K02114	13482	64280	21047	23700	22586	15849	9203	20042	13334	27223	33566	14769	30400	35124	21835	7365	4746	12906	1840	33963	24661	5720	34926	2392	13389	36622	41873	55529
K02115	31308	65373	37610	45968	37052	18949	19630	41529	40102	50099	35353	43183	24394	47028	38850	29196	7865	31028	2598	65043	63746	32091	46245	11783	30056	44751	31707	59016
K02116	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1
K02117	7	36	13	19	9	4919	23	693	207	16105	15	4208	16	8718	1714	3686	41	2460	12	1738	7916	2830	45	1784	1236	4	2604	4
K02118	12	54	17	14	17	8696	23	568	144	19724	6	3357	11	13124	2151	3604	36	2751	14	1753	7058	2426	20	1240	633	4	3373	3
K02119	1	9	2	1	2	55	1	1	36	24	1	4	1	3	1	2	19	2	1	1	7	1	5	4	2	1	2	1
K02120	12	62	23	11	12	4267	19	199	193	7828	17	1299	10	6176	1055	1059	44	984	15	551	1997	797	23	514	44	7	2052	5
K02122	10	24	28	8	6	3078	8	399	76	9740	19	3223	11	5340	1422	2194	20	1693	18	1473	4240	2075	34	8	1244	12	2867	4
K02123	4	20	11	13	7	2802	11	333	117	8451	6	2066	12	5173	831	1916	37	1303	8	631	2673	1378	19	86	493	3	1280	2
K02124	6	14	20	6	8	4751	22	376	77	12731	6	1928	10	7579	1360	2912	25	1417	11	895	3709	1221	17	6	232	5	2123	4
K02160	5	16	25	200	5	1322	14	485	140	894	6	2835	5	2206	759	1164	8	3414	565	571	6774	3197	66	5	3075	11	792	4
K02168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K02169	0	0	0	3	0	18	0	1	0	0	0	2	0	0	1	0	0	2	0	5	0	1	0	0	1	1	1	1
K02170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
K02171	29	1	14	1	8	1	1	1	0	1	7	1	1	1	1	1	1	1	0	1	1	1	1	4	1	1	1	1
K02172	0	0	1	0	0	0	0	0	0	0	0	29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02182	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02188	1	2	2	2	1	198	1	1	5	11	1	5	1	51	295	2	1	2	1	1	6	2	196	1	6	1	51	1
K02189	3	3	2	134	1	178	4	291	11	148	1	64	2	205	445	63	298	182	1	221	391	229	125	1	64	3	81	1
K02190	11	23	6	287	9	2590	18	1137	298	2789	12	1528	11	2590	4117	1675	1052	4272	22	977	2842	2555	1704	20	1427	3	700	5
K02191	1	1	1	1	1	112	1	1	3	119	1	1	2	11	7	46	1	14	1	8	8	11	137	1	2	1	1	1
K02194	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02195	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K02197	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
K02198	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02199	0	2	0	0	0	46	0	0	2	0	0	27	0	0	2	0	0	0	0	0	2	1	0	0	1	1	1	1
K02200	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02204	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
K02221	12725	135	48	3	218	13	643	5	4285	20	25	6	119	14	37	9	28	15	7	5	3	3	25	67	47	9	15	12
K02224	1	1	1	143	2	252	1	426	1	220	1	60	2	218	343	89	407	228	1	321	356	194	59	2	45	1	75	1
K02226	1	1	2	1	1	62	1	1	1	2	1	12	1	3	1	2	1	1	1	1	2	1	1	1	1	1	1	1
K02227	1	2	1	1	1	167	1	3	3	4	1	1	1	29	160	2	2	2	1	1	2	2	30	1	4	1	71	1
K02229	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02230	2	5	2	1	2	1117	1	5	8	314	1	284	2	466	43	17	0	217	4	3	72	14	59	2	4	0	58	0
K02231	4	6	4	2	3	205	2	4	8	9	3	44	3	58	268	5	2	4	4	4	5	3	67	2	2	2	175	2
K02232	44	3	3	316	6	312	8	401	29	214	1	53	2	204	355	133	685	264	4	278	417	234	101	3	106	3	153	1
K02233	1	3	2	3	3	193	2	7	3	26	1	41	2	36	365	2	2	6	2	6	7	2	39	2	4	2	83	2
K02234	0	0	0	0	0	5	0	0	0	0	0	2	4	4	0	0	0	2	0	0	0	1	0	0	1	0	0	0
K02236	0	47	2	0	0	0	0	0	0	0	33	0	15	0	0	0	0	0	0	0	0	0	4	0	0	24	6	27
K02237	100	451	477	352	639	2	438	211	58	354	258	3	145	84	80	116	2	132	3	183	51	19	236	51	58	192	59	150
K02238	135	452	658	418	687	2	435	187	89	225	222	3	154	127	86	139	1	157	1	241	67	17	300	98	21	155	79	151
K02240	67	151	308	178	303	3	146	101	27	93	46	12	59	73	46	54	2	46	1	118	38	15	159	79	13	20	33	36
K02242	378	573	171	249	372	123	145	248	191	155	351	43	154	125	303	86	200	167	10	261	292	96	167	850	108	65	100	110
K02243	61	67	87	126	88	1	43	27	40	31	78	2	16	14	11	16	1	16	1	22	5	3	59	22	6	33	19	21
K02244	81	45	93	84	65	4	55	21	50	23	61	2	11	34	9	19	1	38	1	32	6	4	55	46	8	56	32	19
K02274	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
K02275	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
K02276	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02283	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	5	1	1	0	1	0	0	0	0	0	0	0
K02297	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
K02299	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K02300	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02301	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
K02302	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	2	1	1	0	1	1	1	24	0	1	1	1	1
K02304	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02313	384	4297	2359	3026	2655	379	1412	1724	1021	1577	1406	2298	1731	1197	1657	2008	60	2713	235	2284	3298	1848	2912	1285	1671	2448	1207	3527
K02314	3695	4583	4130	6116	5128	2565	2862	6329	2851	5082	2052	3536	1723	4403	3963	3460	1931	5123	336	6995	6338	2710	6603	1392	1847	3011	2620	3290
K02315	84	364	70	208	83	299	150	298	103	617	134	171	78	112	41	19	162	23	165	1536	71	162	22	132	5	4	72	478
K02316	4737	9350	3757	4923	4528	631	1511	3325	5585	2113	3381	2061	2235	2348	2020	2171	1283	2880	247	3216	3966	1755	2964	2928	1949	1723	1888	833
K02334	132	2465	109	6	8	18	16	8	68	3	658	5	736	5	2	1	1	11	5	3	4	5	187	4	1	434	66	1100
K02335	2838	2481	135	893	502	829	379	1669	2013	867	721	1404	770	700	1670	683	609	1515	109	1102	2830	1553	313	511	712	870	622	1401
K02336	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
